# Integral basis of S_4(Gamma_0(143)), dim 40, q^0..q^140.
# PARI mfinit([143,4],1) / mfcoefs. Rows are coefficients of q^n.
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
63,248,0,200,0,-1846,0,2860,0,-8528,0,2440,-1330,-5448,24236,-12256,-208106,100708,66570,279304,-70152,440,-423328,27040,774892,174440,-136932,-20072,186230,-193544,-128320,-164528,101640,-428328,-2178276,-138824,170560,-670192,2236722,-122472,-92348
64,224,0,1712,0,482,0,2576,0,1662,0,-1752,1616,4614,19912,-10488,85968,-95156,180080,-100308,-98784,11704,45916,-6552,12614,-97692,717242,-31300,209932,-296028,287916,-948800,-197648,-96652,276696,-646384,-42796,-361462,-1317008,1238952,-1449012
65,-880,2,920,50,-52,0,364,0,1066,0,-416,520,-5772,-6656,2496,16536,20124,-25792,-14716,-6760,5720,-56628,2028,-53352,-728,-14300,68380,89128,-62712,206752,-8736,22880,-65728,120640,-206908,-18252,-229996,358696,-520,-260832
66,286,0,616,0,-1728,12,3308,-178,6824,-328,-550,-1584,4620,-8800,2640,55088,-1848,22352,-21428,-88176,-968,102586,6864,-200530,87824,5500,-119504,-328680,19888,155144,63624,38236,-191202,680768,-61446,68640,251482,-203104,-29480,-979440
67,754,0,634,0,546,0,-4328,0,2740,0,-1204,2080,-13724,13804,-2272,47280,64960,-3732,-136424,-136468,11704,-57056,9672,45004,-139964,427828,15608,458572,19240,235212,-45832,-210892,6052,627316,-627040,-23192,350492,1226160,-281072,-131100
68,640,0,-392,0,1098,0,-6064,0,-11450,0,468,16540,-3760,29500,-23344,-26292,-10676,203816,145832,-56580,62656,4840,74360,-8908,-594712,122780,678228,372236,-797892,-389920,-623496,-49324,-867160,141732,1023104,-124800,-325744,21456,-743736,909956
69,962,0,2354,0,1468,0,-5716,0,5548,0,-3548,6812,-10704,-13318,10084,68848,21584,4936,-256800,27364,-15180,-87532,-17056,-118292,136780,71926,-128328,161756,236824,379672,-689904,-191202,233328,646336,-85584,-129454,-869444,-183100,513528,143952
70,284,0,224,0,-580,0,2578,0,1776,0,-372,5668,8584,16476,-52560,22716,-199536,132652,-70152,70536,2200,402940,-53352,191476,-729900,236340,497568,-226368,-275624,-1574456,182712,350284,863132,531440,-193396,519688,-324116,-3900296,-371792,186888
71,-678,0,-222,0,-122,0,-2074,0,5500,0,1568,-216,-796,-1248,-12104,4324,40148,-9992,-18908,113844,-50072,356624,-50440,299564,44640,281140,-245144,-918840,-37808,-25604,18524,32956,133396,68296,175660,63908,-612180,-572124,-1102472,-1556100
72,-744,0,-2352,0,360,0,4180,0,14640,0,2588,14652,-47728,96048,-10944,-19844,66570,110092,247812,-472864,65626,-585900,69134,56956,-79348,547596,166092,2170990,-246206,-574968,-2178276,457424,606808,-430452,-938300,612560,-2537304,835028,994972,-968608
73,-400,0,-3208,0,554,0,1948,0,-6176,0,360,1346,7096,29576,55192,65536,-93620,81372,29680,-90316,-46552,377684,-28132,-482592,45896,421312,79800,-314124,58692,939288,-175696,107096,-345656,1419026,444144,-108056,527360,113322,665288,-971484
74,6,0,120,0,802,0,-2292,0,-6946,0,-2920,1332,18788,-11404,-73140,25832,-107192,17892,-9536,8748,47256,598988,61360,418736,-204812,496080,-175852,29760,-14140,-875696,-670436,-163944,13668,121356,-1494176,93132,-1388340,-2725692,535728,-21604
75,-520,0,-2248,0,16,0,40,0,-13888,0,2060,-1900,22824,42656,-34848,-194172,81344,49392,287932,460156,59224,97222,-728,-491650,-471384,-26662,214696,-795940,460840,-1402748,-244664,-61446,-85584,-1660064,48180,-186082,123896,732636,1465480,1935412
76,432,0,-576,0,-2120,0,11316,0,13264,0,-736,-22096,-35580,-3264,-5336,1570,89718,-173160,-90596,193672,-58388,-425244,-7436,-242608,-176408,-367196,-797892,-682654,1046010,406244,916020,-252208,-97676,-369044,189784,-610896,242064,3747594,-333996,3310044
77,-220,0,44,0,1100,-22,1972,154,-10304,-212,-176,-1408,-6072,-2398,9416,-1848,42064,-16896,440,2200,0,-151954,20020,75438,4400,-103708,84744,101640,137280,274956,-263736,-25168,-77044,-188320,67672,16016,-176308,667392,-74052,911328
78,-440,-26,-80,-56,754,0,-2236,0,-2106,0,-598,-520,8424,1404,16536,16744,-35360,-8320,-52884,-102804,6864,166010,-1352,-266578,103168,207584,-150228,-171496,-183352,252928,181792,68640,-129454,646256,-186082,53404,547274,-830648,-185744,-1181076
79,316,0,4252,0,296,0,-6684,0,-12668,0,-1024,18424,25640,-6848,-42808,10348,29968,202232,-72744,-164816,20856,-138928,49504,-192364,-55480,99960,22952,805116,316728,-426864,-183184,389356,-498528,875948,-946976,-208884,320624,262488,178032,-2740120
80,-1544,0,-1928,0,-692,0,3106,0,4112,0,-288,-14604,-17688,-8184,-816,-53808,113676,-197088,-321024,-94144,29524,-516444,-14300,236340,-115412,373932,-196000,-302584,562084,472088,526096,-610676,-756336,-993332,-369680,-444392,133000,2210488,262512,367520
81,-1294,0,-478,0,-717,0,3236,0,9238,0,5326,1048,-37040,41126,-26524,-258204,213424,116700,370862,120444,12364,-627576,-16640,373772,777012,309138,552,382196,-371248,168088,-681856,126742,-606680,-1819968,206030,433550,-1710576,3490536,-347400,134232
82,512,0,2096,0,-1608,0,7552,0,14592,0,3068,-8620,36042,57130,-21012,81140,-19580,-193676,16922,-45352,-25256,627422,37024,-562940,114936,429140,223868,614132,-895064,-15108,-998628,-183678,-733394,878220,880248,105638,1265652,-1065184,989208,-964456
83,468,0,1188,0,1650,0,972,0,11692,0,-2256,-13520,13264,21436,19864,63286,28000,-192074,-184088,152028,6864,18932,61100,340228,-403592,-275716,-186928,72358,-293728,72752,-103228,187176,-371056,-536406,537440,399464,1759640,824392,328600,594240
84,-736,0,584,0,2956,0,-9538,0,216,0,-9700,-32342,30392,-202740,668,-18104,41446,-333604,-423328,402940,-151954,274784,-167986,-291400,-64276,-2578912,-623496,-3843124,916020,707824,4488090,-203104,-183100,250100,732636,-830648,4144908,147464,-4625284,268888
85,452,0,-2452,0,-712,0,2906,0,2448,0,-112,-2748,-54800,-23344,50812,64428,-58204,-34596,-307424,157480,22000,-594712,68380,497568,230196,-196000,66888,162208,-71816,1081604,614716,210496,1438400,394532,1344320,168480,-443200,136908,-928904,-1245088
86,-156,0,-432,0,2364,0,-2518,0,-9120,0,-6032,20388,4176,-53176,-26696,39396,106364,301184,136452,-196512,-89760,-170744,-70200,-67888,347332,-124068,-63368,838508,-322912,-800664,406236,333740,-146268,838656,-3007776,-17264,-726540,355696,-1855112,-3890912
87,1200,0,-192,0,-1984,0,-1548,0,-18216,0,3632,2488,15768,12820,-12320,55680,-250720,-88464,27664,70744,15224,502524,-67288,-726912,514848,202252,-566176,156616,-240208,611816,-580392,-29480,513528,974236,1465480,-185744,84168,-4625284,-534040,1675720
88,132,0,792,0,-72,-48,-10364,130,384,588,0,8272,-4400,-7810,-24860,22352,-16896,100408,65626,16852,10164,-29700,20592,-122892,134024,-197648,-42284,457424,-176176,-540276,-188320,188760,395494,482768,-108504,183040,-528638,-91784,-220880,-572572
89,-1842,0,-3810,0,-1910,0,2292,0,16424,0,4832,8620,-20500,23524,24756,-74964,-2888,-75256,-54268,174780,-30668,-203980,41600,-6136,-28324,588528,397624,153056,275520,76528,-261912,-139920,-197548,-1403948,130732,-111592,1320092,-1362204,310336,2842828
90,1532,0,3920,0,1020,0,-4320,0,-2980,0,-4256,-29668,29668,-44992,-74088,34764,-70152,-472864,-73200,367636,58124,157996,89128,-226368,-1306440,-302584,162208,-722668,1598028,-1207504,-92348,-851136,-270120,-968608,1417768,-911508,796164,-175964,1602820,8594912
91,1280,20,-880,-4,-52,0,-312,0,5122,0,728,416,-12324,13130,20124,-35360,7904,-44096,27040,-53352,20020,-167986,0,85982,-8736,55640,-50596,170560,156000,358696,-230568,16016,-104624,-547768,93860,-35152,-74516,43264,52520,1043380
92,-40,0,236,0,-2420,0,8956,0,5884,0,-1394,1528,-13318,-49644,-62076,59432,-130952,-30892,-49894,304620,-7744,-261690,-116480,689524,379672,-475372,-867160,1155864,-97676,-1179472,-183100,533830,959628,-1001800,-1147170,732706,-746778,-1101264,-194708,-354480
93,-638,0,-398,0,-720,0,7560,0,10112,0,1524,-31100,24060,2256,26100,-26444,96872,-176684,109480,118308,1804,330712,4888,101136,-288292,-788564,-81320,-1700848,376552,259824,890912,-621984,187316,-598136,1502136,-264784,736308,3682912,1442032,1557188
94,-992,0,-2528,0,-286,0,-1696,0,-9706,0,1160,-8200,22412,-71328,62552,85652,-182520,-163276,9436,-560268,-9768,509432,-93392,208048,961000,-1530628,-532940,-117624,-867300,647344,1453500,-36344,1211400,563816,632748,528788,1182324,-2998564,-712776,-2010116
95,2952,0,5040,0,736,0,-4432,0,-6692,0,-1768,9452,-19528,-5336,-552,190580,-29872,118056,75696,-539784,-43472,-176408,-62712,-275624,356840,562084,-71816,1598028,-217864,97784,-301848,-275572,402896,1785404,-547304,-247260,-1990112,-87768,94136,-302248
96,-952,0,32,0,-1268,0,-1042,0,-17416,0,3020,-1066,70364,22992,-52656,-41468,-74868,191324,57300,-239196,40700,564348,158080,-1958112,-464188,243928,352068,-816884,-381604,-1458228,394932,584144,-1477256,2486206,578884,56784,3563652,-2441478,-67556,-2265932
97,2194,0,3058,0,-858,0,3504,0,-15764,0,0,-5072,-15180,-7916,19796,58288,-70496,-138728,-19828,-212484,-32956,-301668,-34320,1114680,273020,304652,-7536,2044172,358224,192640,-71032,-74756,780804,-537948,412436,-79612,-929132,1265960,1886208,307516
98,-870,0,-2520,0,220,0,-3468,0,-11336,0,2860,50360,164,48252,-162492,-121598,-104210,518898,659644,133852,75438,68064,32474,-780648,-128732,188904,469200,2011328,-150258,-3373448,-1157532,732248,451048,48946,-2448936,106496,-2438168,-2524084,321724,-844656
99,-484,0,-1012,0,-702,57,-520,-220,13624,316,968,4620,-9416,25960,-21472,-21428,440,65626,70576,58124,22022,-253352,38610,101640,-265936,249744,228096,251482,325336,-679360,-340252,40656,94072,-647438,-477136,77220,-349272,84722,696036,795476
