q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
337,3,6,1182443054450688,64151641409,35.90076712802068,8.396604781181859,0.7126048377807831,64151641408
347,1,1,330,11,3.4594316186372973,8.43879185257826,0.40994394447356286,0
347,2,4,12797850352,108929,16.73302856610814,8.43879185257826,0.4957175404496967,108928
347,3,6,1984905989740032,7334407,22.806248895448686,8.43879185257826,0.4504248414911986,3667203
349,1,1,334,167,7.383704292474052,8.447083226209653,0.8741128854471159,0
349,2,4,15994401367,76207,16.217635902221538,8.447083226209653,0.4799773918380896,38103
349,3,6,1834987093604352,53017,15.694167416265861,8.447083226209653,0.3096565405276999,26508
353,1,1,369,41,5.357552004618084,8.46352437327118,0.6330166687459272,0
353,2,4,15474608016,46055381,25.45686639139642,8.46352437327118,0.7519582052540736,11513845
353,3,6,1748763908183040,3347303,21.674567719933872,8.46352437327118,0.42682312875836814,239093
359,1,1,338,13,3.700439718141092,8.487840033823051,0.4359695403536438,0
359,2,4,16865563939,948943,19.855961906164715,8.487840033823051,0.5848355361034441,158157
359,3,6,2015062219127376,4635139991,32.109965765926944,8.487840033823051,0.6305091683705254,4635139990
367,1,1,365,73,6.189824558880018,8.519636252843213,0.7265362481660318,0
367,2,4,15612396821,5009,12.290306896257901,8.519636252843213,0.36064646809763506,5008
367,3,6,2915672669451360,2743219,21.387438371095474,8.519636252843213,0.41839498260969293,457203
373,1,1,348,29,4.857980995127572,8.543031820255237,0.5686483554479411,0
373,2,4,19791473744,1289851,20.298772988479296,8.543031820255237,0.5940154916768423,644925
373,3,6,2597229223170048,54421,15.731875846276436,8.543031820255237,0.30691437921325726,13605
379,1,1,391,23,4.523561956057013,8.566054038171092,0.5280800162945064,0
379,2,4,20700012368,26403077,24.65420273447562,8.566054038171092,0.7195320804834501,26403076
379,3,6,3541242674100096,62734599527,35.8685422898027,8.566054038171092,0.6978814696936168,62734599526
383,1,1,403,31,4.954196310386875,8.581200581924957,0.5773313725846433,0
383,2,4,21121333072,16267,13.989660589736523,8.581200581924957,0.4075671130215653,2711
383,3,6,3431047454984832,8935019414023,43.02260800260837,8.581200581924957,0.8355980726292387,2978339804674
389,1,1,381,127,6.9886846867721655,8.603626344986193,0.8122952353509468,0
389,2,4,20791815597,138493,17.079453532873725,8.603626344986193,0.4962864740989962,69246
389,3,6,3888854465835168,1500329655029,40.44841666565137,8.603626344986193,0.7835536443928843,1500329655028
397,1,1,416,13,3.700439718141092,8.632995197142957,0.42863914940734965,0
397,2,4,22679537104,13901,13.762901049775058,8.632995197142957,0.39855521564317026,2780
397,3,6,4307408539951104,77317,16.23849803974359,8.632995197142957,0.3134967966683149,25772
401,1,1,420,7,2.807354922057604,8.64745842645492,0.32464509033881495,0
401,2,4,29079667568,277097,18.080031565954258,8.64745842645492,0.5226978458387999,277096
401,3,6,4179948124489728,2140729,21.02967074239371,8.64745842645492,0.4053150591634771,2140728
409,1,1,428,107,6.741466986401147,8.67595703294175,0.7770286275974472,0
409,2,4,27120158464,15134017,23.851291635030655,8.67595703294175,0.687281286216312,5044672
409,3,6,4703247195586560,9285571,23.146559198229017,8.67595703294175,0.444649489586448,9285570
419,1,1,448,7,2.807354922057604,8.710806433699352,0.32228415858224524,0
419,2,4,36105402389,40613501,25.275456061275104,8.710806433699352,0.7254051692473721,40613500
419,3,6,5582298113507328,9976471,23.250098147294867,8.710806433699352,0.4448516204987941,1995294
421,1,1,444,37,5.20945336562895,8.717676423066395,0.597573609390351,0
421,2,4,33523412944,299316187,28.157095060899007,8.717676423066395,0.807471328781979,149658093
421,3,6,5585875100199936,414857111,28.62803927447685,8.717676423066395,0.5473178456652538,207428555
431,1,1,472,59,5.882643049361842,8.751544059089099,0.6721834466744528,0
431,2,4,30962653659,70991,16.115348515738834,8.751544059089099,0.4603572925797563,14198
431,3,6,5374096054275936,16847749,24.006052512385768,8.751544059089099,0.45717746777598217,5615916
433,1,1,401,401,8.64745842645492,8.758223214726724,0.9873530526048301,0
433,2,4,34759329577,9349,13.190596342475638,8.758223214726724,0.3765203289263053,2337
433,3,6,5303251956989376,708233434427,39.36543399613631,8.758223214726724,0.749113776295485,354116717213
439,1,1,434,31,4.954196310386875,8.778077129535358,0.5643828639552078,0
439,2,4,34943345136,11555339,23.46205624910966,8.778077129535358,0.6682003331392338,251203
439,3,6,8664738531858432,32561623,24.956669275231413,8.778077129535358,0.4738446493264526,16280811
443,1,1,467,467,8.867278739709661,8.791162888555018,1.0086582232771204,233
443,2,4,42692694037,115074647,26.777994776093628,8.791162888555018,0.7615032025784436,115074646
443,3,6,6829532479418112,1132199,20.11069612385531,8.791162888555018,0.3812672714405981,566099
449,1,1,429,13,3.700439718141092,8.810571634741146,0.4199999581808985,0
449,2,4,36551690000,522167,18.99415175927884,8.810571634741146,0.538959120551912,261083
449,3,6,9780091933310976,876548369,29.707258461938906,8.810571634741146,0.5619623730352826,438274184
457,1,1,474,79,6.303780748177103,8.83605035505807,0.713416118613289,0
457,2,4,40419786883,5387,12.395266349839096,8.83605035505807,0.3507015536286414,5386
