N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.2,0.095,23.585095281889362,0.10699875247667236,1.1168737439698677,-0.35576520040452325,Numerical finite sums from exact integer counts.
35,16,0.2,0.0975,23.58943106328267,0.10979000541640548,1.116125491233001,-0.35594533909231596,Numerical finite sums from exact integer counts.
35,16,0.2,0.1,23.59387845706951,0.11257936437356254,1.1153585674108384,-0.3561300131071476,Numerical finite sums from exact integer counts.
35,16,0.2,0.10250000000000001,23.598437386557976,0.11536678274224686,1.1145730301777428,-0.3563192115629659,Numerical finite sums from exact integer counts.
35,16,0.2,0.105,23.603107773194843,0.11815221406240367,1.1137689385311982,-0.35651292331814755,Numerical finite sums from exact integer counts.
35,16,0.2,0.1075,23.60788953657144,0.12093561202311441,1.1129463527818984,-0.35671113697695817,Numerical finite sums from exact integer counts.
35,16,0.2,0.11,23.612782594429717,0.1237169304658697,1.1121053345436318,-0.356913840891045,Numerical finite sums from exact integer counts.
35,16,0.2,0.1125,23.617786862668364,0.12649612338781174,1.1112459467229707,-0.3571210231609575,Numerical finite sums from exact integer counts.
35,16,0.2,0.115,23.62290225534914,0.12927314494495473,1.1103682535087638,-0.35733267163770127,Numerical finite sums from exact integer counts.
35,16,0.2,0.11750000000000001,23.628128684703263,0.1320479494553762,1.1094723203614405,-0.3575487739243194,Numerical finite sums from exact integer counts.
35,16,0.2,0.12,23.63346606113798,0.1348204914023837,1.108558214002113,-0.35776931737750456,Numerical finite sums from exact integer counts.
35,16,0.2,0.1225,23.63891429324322,0.13759072543765133,1.1076260024015143,-0.3579942891092411,Numerical finite sums from exact integer counts.
35,16,0.2,0.125,23.6444732877984,0.1403586063843304,1.1066757547687347,-0.3582236759884741,Numerical finite sums from exact integer counts.
35,16,0.2,0.1275,23.650142949779344,0.14312408924013115,1.1057075415397895,-0.3584574646428088,Numerical finite sums from exact integer counts.
35,16,0.2,0.13,23.655923182365324,0.14588712918037527,1.1047214343660061,-0.3586956414602362,Numerical finite sums from exact integer counts.
35,16,0.2,0.1325,23.66181388694623,0.14864768156101985,1.1037175061022404,-0.35893819259088866,Numerical finite sums from exact integer counts.
35,16,0.2,0.135,23.667814963129857,0.1514057019216506,1.1026958307949244,-0.35918510394882,Numerical finite sums from exact integer counts.
35,16,0.2,0.1375,23.673926308749294,0.1541611459884472,1.101656483669943,-0.35943636121381484,Numerical finite sums from exact integer counts.
35,16,0.2,0.14,23.68014781987047,0.15691396967711446,1.1005995411203628,-0.3596919498332235,Numerical finite sums from exact integer counts.
35,16,0.2,0.14250000000000002,23.68647939079978,0.1596641290957867,1.099525080693984,-0.3599518550238223,Numerical finite sums from exact integer counts.
35,16,0.2,0.145,23.692920914091825,0.16241158054789726,1.0984331810807477,-0.3602160617737003,Numerical finite sums from exact integer counts.
35,16,0.2,0.1475,23.69947228055732,0.16515628053501988,1.097323922099989,-0.3604845548441707,Numerical finite sums from exact integer counts.
35,16,0.2,0.15,23.706133379271037,0.1678981857596735,1.096197384687547,-0.3607573187717084,Numerical finite sums from exact integer counts.
35,16,0.2,0.1525,23.71290409757992,0.1706372531281001,1.0950536508827216,-0.3610343378699088,Numerical finite sums from exact integer counts.
35,16,0.2,0.155,23.719784321111277,0.17337343975300493,1.0938928038150921,-0.3613155962314738,Numerical finite sums from exact integer counts.
35,16,0.2,0.1575,23.72677393378111,0.17610670295626601,1.0927149276912076,-0.36160107773021943,Numerical finite sums from exact integer counts.
35,16,0.2,0.16,23.733872817802514,0.17883700027161012,1.0915201077811327,-0.36189076602310655,Numerical finite sums from exact integer counts.
35,16,0.2,0.1625,23.741080853694214,0.1815642894472543,1.0903084304048678,-0.36218464455229493,Numerical finite sums from exact integer counts.
35,16,0.2,0.165,23.748397920289204,0.18428852844851418,1.0890799829186466,-0.3624826965472181,Numerical finite sums from exact integer counts.
35,16,0.2,0.1675,23.75582389474347,0.1870096754603768,1.0878348537011058,-0.36278490502668126,Numerical finite sums from exact integer counts.
35,16,0.2,0.17,23.763358652544838,0.18972768889003858,1.0865731321393437,-0.3630912528009788,Numerical finite sums from exact integer counts.
35,16,0.2,0.17250000000000001,23.771002067521902,0.1924425273694107,1.0852949086148562,-0.3634017224740347,Numerical finite sums from exact integer counts.
35,16,0.2,0.17500000000000002,23.778754011853074,0.1951541497575853,1.084000274489368,-0.36371629644556014,Numerical finite sums from exact integer counts.
35,16,0.2,0.1775,23.786614356075706,0.19786251514327,1.0826893220905545,-0.36403495691323323,Numerical finite sums from exact integer counts.
35,16,0.2,0.18,23.79458296909534,0.20056758284718362,1.0813621446976656,-0.3643576858748981,Numerical finite sums from exact integer counts.
35,16,0.2,0.1825,23.80265971819502,0.2032693124244178,1.0800188365270351,-0.3646844651307806,Numerical finite sums from exact integer counts.
35,16,0.2,0.185,23.81084446904472,0.20596766366676117,1.0786594927175184,-0.36501527628572483,Numerical finite sums from exact integer counts.
35,16,0.2,0.1875,23.819137085710864,0.20866259660498715,1.0772842093158193,-0.36535010075144553,Numerical finite sums from exact integer counts.
35,16,0.2,0.19,23.827537430665917,0.21135407151110558,1.0758930832617375,-0.3656889197487996,Numerical finite sums from exact integer counts.
35,16,0.2,0.1925,23.83604536479809,0.2140420489005766,1.0744862123733308,-0.3660317143100731,Numerical finite sums from exact integer counts.
35,16,0.2,0.195,23.844660747421113,0.21672648953448787,1.0730636953319972,-0.3663784652812851,Numerical finite sums from exact integer counts.
35,16,0.2,0.1975,23.853383436284116,0.21940735442169404,1.071625631667484,-0.36672915332450795,Numerical finite sums from exact integer counts.
35,16,0.2,0.2,23.862213287581564,0.22208460482091916,1.0701721217428144,-0.3670837589202026,Numerical finite sums from exact integer counts.
35,16,0.2,0.2025,23.87115015596331,0.2247582022428201,1.0687032667391663,-0.3674422623695682,Numerical finite sums from exact integer counts.
35,16,0.2,0.20500000000000002,23.880193894544707,0.22742810845201408,1.0672191686406625,-0.36780464379690725,Numerical finite sums from exact integer counts.
35,16,0.2,0.20750000000000002,23.889344354916794,0.23009428546906602,1.0657199302191198,-0.3681708831520046,Numerical finite sums from exact integer counts.
35,16,0.2,0.21,23.8986013871566,0.23275669557243958,1.0642056550187278,-0.3685409602125187,Numerical finite sums from exact integer counts.
35,16,0.2,0.2125,23.90796483983747,0.23541530130040775,1.0626764473406862,-0.3689148545863878,Numerical finite sums from exact integer counts.
35,16,0.2,0.215,23.91743456003951,0.23807006545292697,1.0611324122277817,-0.3692925457142461,Numerical finite sums from exact integer counts.
35,16,0.2,0.2175,23.927010393360092,0.24072095109347186,1.059573655448931,-0.3696740128718551,Numerical finite sums from exact integer counts.
35,16,0.2,0.22,23.936692183924425,0.24336792155083045,1.0580002834836737,-0.3700592351725437,Numerical finite sums from exact integer counts.
35,16,0.2,0.2225,23.94647977439621,0.24601094042086175,1.0564124035066318,-0.3704481915696602,Numerical finite sums from exact integer counts.
35,16,0.2,0.225,23.95637300598834,0.24864997156821375,1.054810123371936,-0.37084086085903517,Numerical finite sums from exact integer counts.
35,16,0.2,0.2275,23.96637171847371,0.2512849791280035,1.053193551597619,-0.3712372216814553,Numerical finite sums from exact integer counts.
35,16,0.2,0.23,23.97647575019605,0.25391592750745656,1.0515627973499801,-0.3716372525251433,Numerical finite sums from exact integer counts.
35,16,0.2,0.2325,23.98668493808086,0.2565427813875076,1.0499179704279429,-0.37204093172825164,Numerical finite sums from exact integer counts.
35,16,0.2,0.23500000000000001,23.996999117646354,0.25916550572436414,1.048259181247368,-0.37244823748136097,Numerical finite sums from exact integer counts.
35,16,0.2,0.23750000000000002,24.00741812301455,0.261784065751027,1.0465865408253736,-0.37285914782998847,Numerical finite sums from exact integer counts.
35,16,0.2,0.24,24.01794178692233,0.2643984269787762,1.0449001607646344,-0.3732736406771038,Numerical finite sums from exact integer counts.
35,16,0.2,0.2425,24.02856994073262,0.26700855519861305,1.0432001532376747,-0.37369169378565126,Numerical finite sums from exact integer counts.
35,16,0.2,0.245,24.039302414445615,0.2696144164826666,1.0414866309711492,-0.3741132847810793,Numerical finite sums from exact integer counts.
35,16,0.2,0.2475,24.050139036710025,0.27221597718555884,1.0397597072301423,-0.3745383911538762,Numerical finite sums from exact integer counts.
35,16,0.2,0.25,24.061079634834428,0.274813203945731,1.0380194958024496,-0.3749669902621113,Numerical finite sums from exact integer counts.
35,16,0.2,0.2525,24.072124034798634,0.2774060636867309,1.0362661109828764,-0.37539905933398027,Numerical finite sums from exact integer counts.
35,16,0.2,0.255,24.083272061265117,0.27999452361846083,1.034499667557547,-0.37583457547035787,Numerical finite sums from exact integer counts.
35,16,0.2,0.2575,24.09452353759049,0.2825785512383858,1.0327202807882205,-0.3762735156473516,Numerical finite sums from exact integer counts.
